Person,Name,Tags,Video,Дата готовности / публикации
@Mikhail Koloskov,1. Блокчейн и деньги: что такое блокчейн и почему он может быть катализатором больших изменений в финансах?,Done,https://youtu.be/pZxp--SpWF8,30 ноября / 30 ноября
"@Vlada Sh. ","2. Деньги, леджеры и биткоин",Done,https://youtu.be/GtMdIKRGC80,… / …
"@Antonina ",3. Криптография и основы блокчейна,Done,https://youtu.be/WEmdRTF5_lQ,≈ 12 декабря / …
"@Ляйсян Купаева ",4. Консенсус и основы блокчейна,In progress,https://youtu.be/j1XdgNbXSY0,22 января / …
"@Nisa Nord ","5. Транзакции, UTXO, скрипты и основы блокчейна",In progress,https://youtu.be/Lu_LstTaohU,22 января / …
"@Irina Storchak ","6. Cмартконтракты и DApps, блокчейн и деньги",Done,https://youtu.be/PFNWYWQ2Qyk,~20/12 / …
"@Irina Storchak ","7. Технические испытания, блокчейн и деньги",Done,https://youtu.be/ogCj24ip6uM,3 февраля … / …
"@Andrei Gutman ","8. Государственная политика, блокчейн и деньги",Done,https://youtu.be/KsvDrqfCtWo,… / …
,9. Виды блокчейнов,Done,https://youtu.be/Faon8LlXoI8,15 января / …
"@Irina Storchak ",11. Экономика блокчейна,Done,https://youtu.be/HeTkcwM_i9Q,4 февраля… / …
"@Ляйсян Купаева ",12. Потенциал криптовалют,Done,https://youtu.be/8Fgf9f_k5g8,≈ 12 декабря / …
"@Cor Hydrae ",10. Финансовые институты,Done,https://youtu.be/DLSJE5KjwUc,14 февраля
"@Mikhail Koloskov ",13. Платежи часть 1,Done,https://youtu.be/xNex-wUks3s,≈  9 января
"@Antonina ",14. Платежи часть 2,Done,https://youtu.be/wX1PcU9iM6o,… / …
"@Viktoria Khanagua ",15. Банки часть 1,Done,https://youtu.be/EIcxOpNkQ6E,… / …
"@Vlada Sh. ",16. Банки часть 2,Done,https://youtu.be/WBrjI4K5JBo,… / …
"@Irina Storchak ",17. Вторичные рынки и биржи,Not started,https://youtu.be/m66Z6Nw_3Gk,11 февраля… / …
,18. ???,Not started,Такой нет,
"@Елена Акимова ","19. ICO часть ",Done,https://youtu.be/-eBPPJ6nKyw,8 декабря / …
"@Елена Акимова ",20. ICO часть 2,Done,https://youtu.be/wSXTvmyHhrc,≈ 11 декабря / …
"@Vlada Sh. ",21. Расчетные системы,Done,https://youtu.be/wSXTvmyHhrc,23 января
"@Ляйсян Купаева ",22. Торговое финансирование,Done,https://youtu.be/yaQvZ_wdVBk,27 февраля
"@Andrei Gutman ",23. Цифровая идентичность,Done,https://youtu.be/_MqCymFnRJs,… / …
"@Юлия Нетяга ","24. Блокчейн и деньги: Итоги ",In progress,https://youtu.be/1qY1fX0kZD8,… / …
ALL,Total,Not started,,
,,Not started,,